aerolinea,origen,destino,distancia_km,fecha_partida,retraso,target_texto,fecha_iso
IB,AEP,EZE,909,2025-07-24 19:56:00,0,Puntual,2025-07-24T19:56:00
G3,BOG,LIM,2416,2025-10-16 21:08:00,0,Puntual,2025-10-16T21:08:00
AA,LIM,SCL,4567,2025-08-27 06:21:00,0,Puntual,2025-08-27T06:21:00
G3,MIA,MAD,3359,2025-09-04 09:16:00,0,Puntual,2025-09-04T09:16:00
G3,MAD,SCL,7572,2025-07-07 10:39:00,1,Retrasado,2025-07-07T10:39:00
LA,SCL,MIA,10675,2025-06-05 05:54:00,0,Puntual,2025-06-05T05:54:00
AA,MIA,SCL,2551,2025-08-08 21:47:00,0,Puntual,2025-08-08T21:47:00
AA,LIM,MAD,4201,2025-07-11 07:56:00,0,Puntual,2025-07-11T07:56:00
AA,MIA,AEP,8714,2025-03-15 18:52:00,0,Puntual,2025-03-15T18:52:00
G3,SCL,MIA,3468,2025-02-07 03:15:00,1,Retrasado,2025-02-07T03:15:00
IB,MAD,BOG,9436,2025-09-29 11:58:00,0,Puntual,2025-09-29T11:58:00
AA,MIA,AEP,1101,2025-03-27 18:22:00,0,Puntual,2025-03-27T18:22:00
G3,MAD,LIM,11727,2025-12-16 00:39:00,1,Retrasado,2025-12-16T00:39:00
LA,LIM,MIA,8434,2025-08-23 12:06:00,0,Puntual,2025-08-23T12:06:00
IB,MAD,BOG,5774,2025-12-31 00:29:00,0,Puntual,2025-12-31T00:29:00
LA,BOG,LIM,2342,2025-02-03 18:37:00,0,Puntual,2025-02-03T18:37:00
IB,BOG,GRU,11366,2025-03-25 03:14:00,1,Retrasado,2025-03-25T03:14:00
G3,MAD,BOG,3162,2025-11-28 01:18:00,0,Puntual,2025-11-28T01:18:00
AR,AEP,MAD,9174,2025-02-14 22:14:00,0,Puntual,2025-02-14T22:14:00
IB,GRU,LIM,4536,2025-10-08 15:40:00,0,Puntual,2025-10-08T15:40:00
LA,AEP,LIM,3139,2025-08-19 18:42:00,1,Retrasado,2025-08-19T18:42:00
G3,MAD,EZE,6026,2025-02-19 02:52:00,0,Puntual,2025-02-19T02:52:00
IB,GRU,EZE,5868,2025-11-23 07:47:00,0,Puntual,2025-11-23T07:47:00
AR,BOG,EZE,7643,2025-01-06 14:32:00,0,Puntual,2025-01-06T14:32:00
AR,GRU,BOG,6603,2025-05-03 01:19:00,0,Puntual,2025-05-03T01:19:00
AA,MAD,MIA,4325,2025-01-16 05:42:00,0,Puntual,2025-01-16T05:42:00
AA,BOG,MIA,10891,2025-12-18 02:19:00,0,Puntual,2025-12-18T02:19:00
LA,GRU,SCL,10374,2025-03-06 03:39:00,0,Puntual,2025-03-06T03:39:00
IB,GRU,MIA,6170,2025-07-05 20:34:00,0,Puntual,2025-07-05T20:34:00
IB,AEP,MAD,5296,2025-07-15 03:58:00,0,Puntual,2025-07-15T03:58:00
AA,GRU,MAD,4108,2025-10-22 11:33:00,0,Puntual,2025-10-22T11:33:00
IB,LIM,SCL,7378,2025-09-16 07:34:00,0,Puntual,2025-09-16T07:34:00
IB,MAD,BOG,1518,2025-11-21 06:02:00,1,Retrasado,2025-11-21T06:02:00
AR,EZE,BOG,5849,2025-06-09 17:29:00,1,Retrasado,2025-06-09T17:29:00
AA,EZE,MIA,5260,2025-05-26 11:37:00,0,Puntual,2025-05-26T11:37:00
G3,EZE,MAD,11662,2025-07-15 07:28:00,1,Retrasado,2025-07-15T07:28:00
AA,MAD,EZE,1811,2025-03-21 18:23:00,0,Puntual,2025-03-21T18:23:00
G3,EZE,MIA,10110,2025-10-11 13:56:00,0,Puntual,2025-10-11T13:56:00
AR,AEP,GRU,3000,2025-09-04 19:36:00,0,Puntual,2025-09-04T19:36:00
LA,MAD,EZE,3167,2025-09-11 08:40:00,1,Retrasado,2025-09-11T08:40:00
IB,LIM,BOG,6534,2025-06-02 01:22:00,0,Puntual,2025-06-02T01:22:00
AR,BOG,LIM,10078,2025-06-06 06:11:00,0,Puntual,2025-06-06T06:11:00
IB,LIM,AEP,5730,2025-06-16 02:54:00,0,Puntual,2025-06-16T02:54:00
LA,MAD,GRU,9836,2025-07-26 03:50:00,0,Puntual,2025-07-26T03:50:00
LA,MAD,MIA,10755,2025-03-14 21:43:00,0,Puntual,2025-03-14T21:43:00
AR,GRU,LIM,5334,2025-11-03 21:05:00,0,Puntual,2025-11-03T21:05:00
LA,GRU,BOG,2046,2025-03-15 08:52:00,1,Retrasado,2025-03-15T08:52:00
G3,GRU,MIA,2645,2025-02-24 01:28:00,0,Puntual,2025-02-24T01:28:00
LA,SCL,MIA,2663,2025-10-04 01:38:00,0,Puntual,2025-10-04T01:38:00
IB,SCL,BOG,3512,2025-03-18 19:49:00,0,Puntual,2025-03-18T19:49:00
IB,MIA,EZE,4944,2025-06-25 02:19:00,0,Puntual,2025-06-25T02:19:00
IB,SCL,LIM,11874,2025-02-04 23:16:00,0,Puntual,2025-02-04T23:16:00
IB,AEP,BOG,3923,2025-12-26 21:55:00,1,Retrasado,2025-12-26T21:55:00
G3,MAD,LIM,7679,2025-09-20 12:35:00,1,Retrasado,2025-09-20T12:35:00
AA,LIM,MIA,4059,2025-01-24 10:30:00,0,Puntual,2025-01-24T10:30:00
AR,MAD,AEP,10248,2025-09-08 00:13:00,0,Puntual,2025-09-08T00:13:00
IB,GRU,EZE,3186,2025-12-14 12:43:00,0,Puntual,2025-12-14T12:43:00
LA,MAD,EZE,2832,2025-06-19 16:45:00,0,Puntual,2025-06-19T16:45:00
IB,BOG,LIM,6566,2025-09-01 11:12:00,1,Retrasado,2025-09-01T11:12:00
LA,SCL,MIA,2156,2025-06-25 06:55:00,0,Puntual,2025-06-25T06:55:00
LA,MAD,MIA,7279,2025-09-28 23:06:00,0,Puntual,2025-09-28T23:06:00
IB,LIM,GRU,6538,2025-11-30 21:46:00,0,Puntual,2025-11-30T21:46:00
G3,EZE,AEP,9236,2025-12-18 07:56:00,0,Puntual,2025-12-18T07:56:00
LA,BOG,MIA,9083,2025-10-05 04:01:00,0,Puntual,2025-10-05T04:01:00
LA,BOG,GRU,5789,2025-08-09 13:47:00,0,Puntual,2025-08-09T13:47:00
IB,MAD,BOG,6720,2025-11-18 09:45:00,0,Puntual,2025-11-18T09:45:00
LA,MIA,BOG,10680,2025-05-08 03:58:00,0,Puntual,2025-05-08T03:58:00
LA,GRU,BOG,796,2025-07-03 14:18:00,0,Puntual,2025-07-03T14:18:00
IB,AEP,GRU,6973,2025-05-22 19:59:00,0,Puntual,2025-05-22T19:59:00
IB,AEP,EZE,1586,2025-08-09 05:55:00,0,Puntual,2025-08-09T05:55:00
AR,EZE,MIA,6859,2025-03-22 15:35:00,0,Puntual,2025-03-22T15:35:00
G3,AEP,EZE,11953,2025-04-10 09:33:00,1,Retrasado,2025-04-10T09:33:00
G3,AEP,MIA,5694,2025-02-04 04:53:00,0,Puntual,2025-02-04T04:53:00
LA,GRU,MIA,6305,2025-08-11 21:00:00,1,Retrasado,2025-08-11T21:00:00
G3,SCL,MIA,7222,2025-03-19 19:22:00,0,Puntual,2025-03-19T19:22:00
LA,GRU,AEP,9808,2025-02-14 11:45:00,0,Puntual,2025-02-14T11:45:00
AR,MIA,MIA,9768,2025-08-24 02:10:00,0,Puntual,2025-08-24T02:10:00
IB,LIM,MIA,995,2025-02-27 06:15:00,0,Puntual,2025-02-27T06:15:00
IB,EZE,MAD,3495,2025-10-17 15:40:00,0,Puntual,2025-10-17T15:40:00
IB,AEP,MIA,593,2025-04-23 08:09:00,0,Puntual,2025-04-23T08:09:00
G3,MIA,SCL,4824,2025-06-07 13:49:00,0,Puntual,2025-06-07T13:49:00
AR,EZE,MIA,6893,2025-11-03 05:47:00,0,Puntual,2025-11-03T05:47:00
G3,BOG,LIM,6010,2025-07-06 13:16:00,0,Puntual,2025-07-06T13:16:00
G3,AEP,SCL,1220,2025-06-12 07:20:00,0,Puntual,2025-06-12T07:20:00
AR,AEP,MIA,5575,2025-07-03 09:55:00,0,Puntual,2025-07-03T09:55:00
AR,GRU,MIA,6825,2025-05-04 05:02:00,0,Puntual,2025-05-04T05:02:00
AR,MAD,MIA,5599,2025-11-27 10:48:00,0,Puntual,2025-11-27T10:48:00
AR,EZE,MIA,4526,2025-04-10 17:26:00,1,Retrasado,2025-04-10T17:26:00
IB,AEP,MIA,5557,2025-07-17 18:09:00,1,Retrasado,2025-07-17T18:09:00
AA,SCL,MIA,7310,2025-12-12 19:52:00,1,Retrasado,2025-12-12T19:52:00
AA,EZE,AEP,1606,2025-01-14 21:52:00,0,Puntual,2025-01-14T21:52:00
AR,LIM,BOG,5805,2025-10-27 09:08:00,0,Puntual,2025-10-27T09:08:00
AA,SCL,AEP,8234,2025-12-04 01:01:00,0,Puntual,2025-12-04T01:01:00
AA,MIA,BOG,7174,2025-05-19 12:11:00,0,Puntual,2025-05-19T12:11:00
AR,SCL,MIA,10063,2025-11-27 08:48:00,0,Puntual,2025-11-27T08:48:00
AA,MIA,GRU,9114,2025-07-02 09:21:00,1,Retrasado,2025-07-02T09:21:00
G3,MAD,GRU,2505,2025-10-02 13:10:00,1,Retrasado,2025-10-02T13:10:00
LA,AEP,EZE,5761,2025-04-15 02:25:00,1,Retrasado,2025-04-15T02:25:00
LA,SCL,AEP,1263,2025-11-19 08:04:00,0,Puntual,2025-11-19T08:04:00
AR,LIM,SCL,9589,2025-08-19 12:52:00,0,Puntual,2025-08-19T12:52:00
IB,GRU,SCL,9644,2025-09-04 13:47:00,0,Puntual,2025-09-04T13:47:00
AR,AEP,EZE,11614,2025-04-02 00:58:00,0,Puntual,2025-04-02T00:58:00
IB,EZE,LIM,6191,2025-07-22 17:29:00,1,Retrasado,2025-07-22T17:29:00
LA,BOG,SCL,7559,2025-10-02 15:09:00,0,Puntual,2025-10-02T15:09:00
AR,MIA,MAD,4979,2025-11-15 03:05:00,0,Puntual,2025-11-15T03:05:00
G3,EZE,GRU,11889,2025-11-06 17:43:00,1,Retrasado,2025-11-06T17:43:00
AA,MAD,MIA,4698,2025-05-02 18:10:00,1,Retrasado,2025-05-02T18:10:00
IB,MIA,BOG,9591,2025-11-02 02:43:00,0,Puntual,2025-11-02T02:43:00
AA,GRU,MAD,4523,2025-08-02 14:01:00,0,Puntual,2025-08-02T14:01:00
AA,MIA,MIA,4705,2025-12-18 17:53:00,0,Puntual,2025-12-18T17:53:00
AR,BOG,MAD,4141,2025-10-01 19:42:00,0,Puntual,2025-10-01T19:42:00
AA,SCL,EZE,4043,2025-03-11 15:59:00,0,Puntual,2025-03-11T15:59:00
G3,LIM,EZE,6091,2025-02-22 09:23:00,0,Puntual,2025-02-22T09:23:00
AA,SCL,BOG,7743,2025-03-05 18:38:00,0,Puntual,2025-03-05T18:38:00
AR,AEP,GRU,11782,2025-08-08 04:37:00,0,Puntual,2025-08-08T04:37:00
G3,BOG,LIM,6616,2025-07-17 21:09:00,0,Puntual,2025-07-17T21:09:00
LA,LIM,SCL,6833,2025-08-13 22:50:00,0,Puntual,2025-08-13T22:50:00
AA,BOG,MIA,1261,2025-01-10 21:28:00,0,Puntual,2025-01-10T21:28:00
AR,AEP,LIM,2907,2025-05-20 15:15:00,0,Puntual,2025-05-20T15:15:00
LA,MIA,MIA,1385,2025-04-19 15:36:00,0,Puntual,2025-04-19T15:36:00
LA,MAD,SCL,6722,2025-04-04 00:48:00,0,Puntual,2025-04-04T00:48:00
IB,AEP,MAD,3143,2025-03-01 20:15:00,0,Puntual,2025-03-01T20:15:00
G3,AEP,BOG,11935,2025-08-28 20:38:00,1,Retrasado,2025-08-28T20:38:00
AA,LIM,MIA,9927,2025-03-19 02:11:00,0,Puntual,2025-03-19T02:11:00
AR,GRU,AEP,11625,2025-06-06 08:31:00,0,Puntual,2025-06-06T08:31:00
IB,SCL,AEP,5610,2025-08-31 20:31:00,1,Retrasado,2025-08-31T20:31:00
G3,MIA,GRU,1968,2025-10-27 22:32:00,0,Puntual,2025-10-27T22:32:00
IB,AEP,LIM,6792,2025-11-07 12:50:00,0,Puntual,2025-11-07T12:50:00
G3,MAD,BOG,8701,2025-11-27 10:33:00,1,Retrasado,2025-11-27T10:33:00
G3,EZE,MIA,6161,2025-07-09 20:10:00,1,Retrasado,2025-07-09T20:10:00
AA,MIA,AEP,9483,2025-01-12 16:58:00,0,Puntual,2025-01-12T16:58:00
G3,GRU,MIA,6563,2025-06-17 17:44:00,1,Retrasado,2025-06-17T17:44:00
IB,BOG,MIA,7515,2025-06-16 13:08:00,0,Puntual,2025-06-16T13:08:00
G3,AEP,GRU,10354,2025-06-29 01:06:00,0,Puntual,2025-06-29T01:06:00
AA,MAD,MIA,6823,2025-11-19 07:36:00,1,Retrasado,2025-11-19T07:36:00
AA,MIA,AEP,9435,2025-01-13 02:45:00,0,Puntual,2025-01-13T02:45:00
IB,MAD,SCL,2928,2025-12-05 15:36:00,0,Puntual,2025-12-05T15:36:00
LA,MAD,AEP,9808,2025-10-25 10:11:00,0,Puntual,2025-10-25T10:11:00
LA,SCL,AEP,11133,2025-07-13 15:15:00,0,Puntual,2025-07-13T15:15:00
G3,LIM,MIA,7608,2025-04-19 23:32:00,0,Puntual,2025-04-19T23:32:00
AR,BOG,EZE,1854,2025-04-24 05:42:00,0,Puntual,2025-04-24T05:42:00
G3,GRU,LIM,6327,2025-08-16 18:23:00,0,Puntual,2025-08-16T18:23:00
IB,SCL,AEP,2980,2025-05-21 09:34:00,0,Puntual,2025-05-21T09:34:00
IB,MIA,MAD,11693,2025-11-18 06:43:00,0,Puntual,2025-11-18T06:43:00
IB,AEP,EZE,1686,2025-10-07 08:22:00,0,Puntual,2025-10-07T08:22:00
IB,GRU,SCL,7409,2025-07-06 00:28:00,1,Retrasado,2025-07-06T00:28:00
IB,AEP,BOG,4587,2025-02-19 05:26:00,0,Puntual,2025-02-19T05:26:00
AA,EZE,LIM,6728,2025-03-07 02:41:00,0,Puntual,2025-03-07T02:41:00
LA,MAD,EZE,3331,2025-11-11 15:35:00,0,Puntual,2025-11-11T15:35:00
IB,EZE,MIA,4161,2025-08-11 05:32:00,1,Retrasado,2025-08-11T05:32:00
AR,LIM,MIA,2248,2025-12-14 06:41:00,0,Puntual,2025-12-14T06:41:00
AR,MAD,LIM,11555,2025-05-26 03:17:00,0,Puntual,2025-05-26T03:17:00
AR,BOG,EZE,8434,2025-07-30 22:47:00,0,Puntual,2025-07-30T22:47:00
AR,GRU,MIA,9806,2025-01-12 08:40:00,0,Puntual,2025-01-12T08:40:00
AA,AEP,SCL,8052,2025-12-20 04:33:00,0,Puntual,2025-12-20T04:33:00
AR,SCL,MAD,3764,2025-07-11 21:58:00,0,Puntual,2025-07-11T21:58:00
IB,LIM,MIA,5872,2025-08-21 05:43:00,0,Puntual,2025-08-21T05:43:00
